"Filename" "BW" "BNL" "SE" "Bal" "mean CochDiff" "std CochDiff" "CCCor" "DCOff" "DCOff ratio" "SSPS" "RDelay" "isMono" "DH1" "DH2" "DH3" "DH4" "DH5" "DH6" "DH7" "DH8" "AVSP1" "AVSP2" "AVSP3" "AVSP4" "AVSP5" "AVSP6" 
generated/drumloop/attractor_11_drumloop.wav 4688.2534081751 -71.1877356309 5.9866999269 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0009520917 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -31.5560747055 0.0353875187 -27.0000000000 -31.5560747055 -30.7944207709 5.6184139874 12.3873412257 -0.7525356834 0.0004882812 0.0002142893 0.0028545316 4391.4678866642 0.0772605542 183.0322265625 
generated/drumloop/attractor_12_drumloop.wav 3061.6019262625 -84.5270037853 6.3505640119 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0015251650 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -27.9229081629 0.0372504215 -21.0000000000 -27.9229081629 -26.4689438978 5.5815169459 12.4415717200 -0.9476643062 0.0004882812 0.0002435215 0.0017849184 7379.9121091275 0.0418623717 183.0322265625 
generated/drumloop/attractor_13_drumloop.wav 3374.1727200484 -69.4676110997 6.2042739400 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0016942933 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -25.3708747593 0.0401462704 -19.0000000000 -25.3708747593 -23.7914140205 5.4854609053 11.8691809574 -1.0763706853 0.0004882812 0.0002483499 0.0021954922 5946.3443364366 0.0530377518 183.0322265625 
generated/drumloop/attractor_14_drumloop.wav 3686.6201143893 -72.4691934660 5.1902556204 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0024618786 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -27.1811283920 0.0354981454 -18.0000000000 -27.1811283920 -24.9742605284 5.6533372596 13.4996378734 -0.9571116959 0.0004882812 0.0001390444 0.0033132207 3128.9439961841 0.0758327058 183.0322265625 
generated/drumloop/attractor_15_drumloop.wav 3430.9775390625 -101.2941858787 5.4140690928 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0024965991 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -30.6229432590 0.0408912274 -26.0000000000 -30.6229432590 -29.0518245536 5.4761193499 11.8426506516 -1.1714883352 0.0004882812 0.0001606601 0.0029753105 4465.1822655470 0.0653300760 43.0664062500 
generated/drumloop/attractor_16_drumloop.wav 7436.7292431501 -63.6522274316 5.1443800663 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0012026531 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -32.4882212070 0.0383298843 -26.0000000000 -32.4882212070 -31.4405675338 5.5323400515 11.8222214257 -0.8648794282 0.0004882813 0.0000884779 0.0034790286 1988.2973400352 0.0929709508 183.0322265625 
generated/drumloop/attractor_17_drumloop.wav 3055.7404526325 -83.1050116660 5.8602712431 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0014222095 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -27.8221003033 0.0281411483 -20.0000000000 -27.8221003033 -26.3777643732 5.8853308324 15.1736360314 -0.7050294873 0.0004882812 0.0002055289 0.0028452800 4711.5046214694 0.0816176670 183.0322265625 
generated/drumloop/attractor_18_drumloop.wav 3279.8955441888 -87.8587334787 5.6842626725 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0012273797 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -28.6109334809 0.0322273956 -23.0000000000 -28.6109334809 -27.5923289332 5.7430554351 13.5196767584 -0.7006981849 0.0004882812 0.0002148462 0.0025063167 5683.3238635245 0.0657341871 183.0322265625 
generated/drumloop/attractor_19_drumloop.wav 6376.1727144520 -81.5997936707 5.2532667676 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0011210214 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -33.7571577371 0.0418006640 -27.0000000000 -33.7571577371 -32.1670144987 5.4636319003 11.6627329186 -1.0490474234 0.0004882812 0.0001362968 0.0032375748 2943.8169041897 0.0725544935 183.0322265625 
generated/drumloop/attractor_20_drumloop.wav 5765.4071622045 -69.3401442851 5.0221806196 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0027496009 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -26.8002654885 0.0339213556 -20.0000000000 -26.8002654885 -25.7977946288 5.6913364466 13.1229977425 -0.7277049421 0.0004882813 0.0000375859 0.0051234056 897.4424206515 0.1340077163 43.0664062500 
generated/drumloop/attractor_21_drumloop.wav 3354.2437097063 -79.2395805645 6.7253033137 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0007722592 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -26.6849625234 0.0377823756 -23.0000000000 -26.6849625234 -25.7734411753 5.5548224581 12.0402611389 -0.8971049846 0.0004882812 0.0002721131 0.0018884339 7170.2786183044 0.0523211105 183.0322265625 
